[2025-07-27T20:13:14.134+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-27T20:13:14.167+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_drift_monitoring.check_drift manual__2025-07-27T20:13:02.327181+00:00 [queued]>
[2025-07-27T20:13:14.175+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_drift_monitoring.check_drift manual__2025-07-27T20:13:02.327181+00:00 [queued]>
[2025-07-27T20:13:14.210+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2025-07-27T20:13:14.226+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): check_drift> on 2025-07-27 20:13:02.327181+00:00
[2025-07-27T20:13:14.239+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=802) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-27T20:13:14.241+0000] {standard_task_runner.py:63} INFO - Started process 806 to run task
[2025-07-27T20:13:14.239+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'data_drift_monitoring', 'check_drift', 'manual__2025-07-27T20:13:02.327181+00:00', '--job-id', '10', '--raw', '--subdir', 'DAGS_FOLDER/drift_monitoring.py', '--cfg-path', '/tmp/tmpw3au01ct']
[2025-07-27T20:13:14.242+0000] {standard_task_runner.py:91} INFO - Job 10: Subtask check_drift
[2025-07-27T20:13:14.258+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-07-27T20:13:14.299+0000] {task_command.py:426} INFO - Running <TaskInstance: data_drift_monitoring.check_drift manual__2025-07-27T20:13:02.327181+00:00 [running]> on host f9a2821ac4f4
[2025-07-27T20:13:14.414+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='mlops' AIRFLOW_CTX_DAG_ID='data_drift_monitoring' AIRFLOW_CTX_TASK_ID='check_drift' AIRFLOW_CTX_EXECUTION_DATE='2025-07-27T20:13:02.327181+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-27T20:13:02.327181+00:00'
[2025-07-27T20:13:14.415+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-27T20:13:14.431+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/utils/context.py:320 AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
[2025-07-27T20:13:14.433+0000] {drift_monitoring.py:54} INFO - 📅 Date exécution: 2025-07-27 20:13:02.327181+00:00
[2025-07-27T20:13:14.555+0000] {credentials.py:1147} INFO - Found credentials in environment variables.
[2025-07-27T20:13:14.668+0000] {logging_mixin.py:188} WARNING - Downloading artifacts:   0%|          | 0/5 [00:00<?, ?it/s]
[2025-07-27T20:13:14.685+0000] {logging_mixin.py:188} WARNING - Downloading artifacts:  20%|##        | 1/5 [00:00<00:00, 68.04it/s]
[2025-07-27T20:13:14.686+0000] {logging_mixin.py:188} WARNING - Downloading artifacts:  40%|####      | 2/5 [00:00<00:00, 124.14it/s]
[2025-07-27T20:13:14.687+0000] {logging_mixin.py:188} WARNING - Downloading artifacts:  60%|######    | 3/5 [00:00<00:00, 175.21it/s]
[2025-07-27T20:13:14.696+0000] {logging_mixin.py:188} WARNING - Downloading artifacts:  80%|########  | 4/5 [00:00<00:00, 155.41it/s]
[2025-07-27T20:13:14.697+0000] {logging_mixin.py:188} WARNING - Downloading artifacts: 100%|##########| 5/5 [00:00<00:00, 185.39it/s]
