[2025-07-27T20:13:06.046+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-27T20:13:06.094+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_drift_monitoring.check_drift scheduled__2025-07-20T00:00:00+00:00 [queued]>
[2025-07-27T20:13:06.103+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_drift_monitoring.check_drift scheduled__2025-07-20T00:00:00+00:00 [queued]>
[2025-07-27T20:13:06.135+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2025-07-27T20:13:06.155+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): check_drift> on 2025-07-20 00:00:00+00:00
[2025-07-27T20:13:06.172+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=706) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-27T20:13:06.171+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'data_drift_monitoring', 'check_drift', 'scheduled__2025-07-20T00:00:00+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/drift_monitoring.py', '--cfg-path', '/tmp/tmpv_1fur1q']
[2025-07-27T20:13:06.174+0000] {standard_task_runner.py:63} INFO - Started process 731 to run task
[2025-07-27T20:13:06.174+0000] {standard_task_runner.py:91} INFO - Job 9: Subtask check_drift
[2025-07-27T20:13:06.194+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-07-27T20:13:06.250+0000] {task_command.py:426} INFO - Running <TaskInstance: data_drift_monitoring.check_drift scheduled__2025-07-20T00:00:00+00:00 [running]> on host f9a2821ac4f4
[2025-07-27T20:13:06.433+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='mlops' AIRFLOW_CTX_DAG_ID='data_drift_monitoring' AIRFLOW_CTX_TASK_ID='check_drift' AIRFLOW_CTX_EXECUTION_DATE='2025-07-20T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-20T00:00:00+00:00'
[2025-07-27T20:13:06.435+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-27T20:13:06.453+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/utils/context.py:320 AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
[2025-07-27T20:13:06.453+0000] {drift_monitoring.py:54} INFO - 📅 Date exécution: 2025-07-20 00:00:00+00:00
[2025-07-27T20:13:06.591+0000] {credentials.py:1147} INFO - Found credentials in environment variables.
[2025-07-27T20:13:06.936+0000] {logging_mixin.py:188} WARNING - Downloading artifacts:   0%|          | 0/5 [00:00<?, ?it/s]
[2025-07-27T20:13:06.958+0000] {logging_mixin.py:188} WARNING - Downloading artifacts:  20%|##        | 1/5 [00:00<00:00, 58.55it/s]
[2025-07-27T20:13:06.967+0000] {logging_mixin.py:188} WARNING - Downloading artifacts:  40%|####      | 2/5 [00:00<00:00, 76.09it/s]
[2025-07-27T20:13:06.982+0000] {logging_mixin.py:188} WARNING - Downloading artifacts:  60%|######    | 3/5 [00:00<00:00, 73.06it/s]
[2025-07-27T20:13:06.983+0000] {logging_mixin.py:188} WARNING - Downloading artifacts:  80%|########  | 4/5 [00:00<00:00, 94.74it/s]
[2025-07-27T20:13:06.984+0000] {logging_mixin.py:188} WARNING - Downloading artifacts: 100%|##########| 5/5 [00:00<00:00, 116.36it/s]
[2025-07-27T20:13:06.985+0000] {logging_mixin.py:188} WARNING - Downloading artifacts: 100%|##########| 5/5 [00:00<00:00, 114.29it/s]
[2025-07-27T20:13:09.102+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 22 — On continue
[2025-07-27T20:13:09.111+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 21 — On continue
[2025-07-27T20:13:09.121+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 20 — On continue
[2025-07-27T20:13:09.131+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 19 — On continue
[2025-07-27T20:13:09.146+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 18 — On continue
[2025-07-27T20:13:09.158+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 17 — On continue
[2025-07-27T20:13:09.169+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 16 — On continue
[2025-07-27T20:13:09.179+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 15 — On continue
[2025-07-27T20:13:09.190+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 14 — On continue
[2025-07-27T20:13:09.199+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 13 — On continue
[2025-07-27T20:13:09.213+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 12 — On continue
[2025-07-27T20:13:09.224+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 11 — On continue
[2025-07-27T20:13:09.234+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 10 — On continue
[2025-07-27T20:13:09.245+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 09 — On continue
[2025-07-27T20:13:09.256+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 08 — On continue
[2025-07-27T20:13:09.265+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 07 — On continue
[2025-07-27T20:13:09.276+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 06 — On continue
[2025-07-27T20:13:09.286+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 05 — On continue
[2025-07-27T20:13:09.321+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 04 — On continue
[2025-07-27T20:13:09.330+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 03 — On continue
[2025-07-27T20:13:09.341+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 02 — On continue
[2025-07-27T20:13:09.351+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 01 — On continue
[2025-07-27T20:13:09.361+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-19 00 — On continue
[2025-07-27T20:13:09.371+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 23 — On continue
[2025-07-27T20:13:09.381+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 22 — On continue
[2025-07-27T20:13:09.391+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 21 — On continue
[2025-07-27T20:13:09.401+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 20 — On continue
[2025-07-27T20:13:09.411+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 19 — On continue
[2025-07-27T20:13:09.420+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 18 — On continue
[2025-07-27T20:13:09.429+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 17 — On continue
[2025-07-27T20:13:09.440+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 16 — On continue
[2025-07-27T20:13:09.449+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 15 — On continue
[2025-07-27T20:13:09.459+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 14 — On continue
[2025-07-27T20:13:09.468+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 13 — On continue
[2025-07-27T20:13:09.477+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 12 — On continue
[2025-07-27T20:13:09.488+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 11 — On continue
[2025-07-27T20:13:09.497+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 10 — On continue
[2025-07-27T20:13:09.507+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 09 — On continue
[2025-07-27T20:13:09.516+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 08 — On continue
[2025-07-27T20:13:09.527+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 07 — On continue
[2025-07-27T20:13:09.536+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 06 — On continue
[2025-07-27T20:13:09.547+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 05 — On continue
[2025-07-27T20:13:09.556+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 04 — On continue
